"OU","DN","Descricao","Utilizadores","Computadores","Grupos"
"Domain Controllers","OU=Domain Controllers,DC=AINTAR,DC=LOCAL","Default container for domain controllers","0","1","0"
"Servers","OU=Servers,OU=Aintar,DC=AINTAR,DC=LOCAL",,"0","0","0"
"Aintar","OU=Aintar,DC=AINTAR,DC=LOCAL",,"0","0","0"
"Users","OU=Users,OU=Aintar,DC=AINTAR,DC=LOCAL",,"3","0","0"
"Groups","OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL",,"0","0","0"
"SecurityGroups","OU=SecurityGroups,OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL",,"0","0","47"
"DistributionGroups","OU=DistributionGroups,OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL",,"0","0","0"
"AdminUsers","OU=AdminUsers,OU=Users,OU=Aintar,DC=AINTAR,DC=LOCAL",,"3","0","0"
"365Sync","OU=365Sync,OU=Users,OU=Aintar,DC=AINTAR,DC=LOCAL",,"1","0","0"
"Utilizadores","OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Contas de utilizadores por departamento","0","0","0"
"Computadores","OU=Computadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Computadores e servidores do dominio","0","0","0"
"Admin","OU=Admin,OU=Aintar,DC=AINTAR,DC=LOCAL","Contas administrativas dedicadas","4","0","0"
"Direcao","OU=Direcao,OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Direcao, Secretariado, Fiscalizacao, Juridico","5","0","0"
"DPAS","OU=DPAS,OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Div. Projetos, Ambiente e Saneamento","7","0","0"
"DAGF","OU=DAGF,OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Div. Administracao Geral e Financas","7","0","0"
"TI","OU=TI,OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Sistemas e Tecnologias de Informacao","2","0","0"
"Servico","OU=Servico,OU=Utilizadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Contas de servico (svc.*)","3","0","0"
"Desktops","OU=Desktops,OU=Computadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Estacoes de trabalho","0","22","0"
"Servidores","OU=Servidores,OU=Computadores,OU=Aintar,DC=AINTAR,DC=LOCAL","Servidores","0","5","0"
"FileServer","OU=FileServer,OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL","Grupos de acesso ao FileServer (SG_FS_*)","0","0","0"
"Acesso","OU=Acesso,OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL","Grupos de acesso VPN, RDP, etc.","0","0","0"
"Servicos","OU=Servicos,OU=Groups,OU=Aintar,DC=AINTAR,DC=LOCAL","Grupos de servicos (ADSync, Sophos)","0","0","0"
