"Partilha","Pasta","Ficheiros","TamanhoMB","UltimaModificacao"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\ANÁLISES","25","20,7","31/03/2023 11:08:00"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\Contratos assinados","6","20,4","21/10/2022 16:11:16"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\ESTATUTOS AINTAR","4","9,8","06/12/2022 17:14:40"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\POSEUR - reprogramacoes","18","6,7","23/03/2023 09:52:26"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\DOCUMENTOS ACT","6","6,1","24/05/2023 14:21:00"
"SHARED","D:\SHARED\GERAL\ADESÃO E TARIFARIO AINTAR","4","3,6","22/05/2023 12:44:00"
"SHARED","D:\SHARED\TEMP\PP docs","54","2,9","03/05/2023 08:12:32"
"AIRCDOC$","D:\AIRCDOC$\SNC\SISAL","2","2,1","13/06/2023 10:39:10"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\Informações Abertura","11","2","05/12/2022 17:12:04"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\ficha cadastro ramais","4","0,6","08/03/2023 11:42:33"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\PROCEDIMENTOS QUE NÃO AVANÇARAM","2","0,4","05/12/2022 17:12:04"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\E-REDES","1","0,3","20/03/2023 10:46:00"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\ACT - DOCUMENTOS","1","0","07/03/2023 10:38:22"
"AIRCDOC$","D:\AIRCDOC$\TAX","2","0","17/04/2023 17:28:56"
"SHARED","D:\SHARED\GERAL\APA","1","0","21/02/2019 10:31:12"
"SHARED","D:\SHARED\PROCESSOS DIGITAIS\LISTAGEM ETS_FS_EE","1","0","24/01/2023 18:09:46"
